Model,Brand,Price_GBP,ANC_dB,Sound_Quality,Bass_Intensity,Durability,Earcup_Fit,Tier
Srhythm NC35,Srhythm,55,25,7.0,Bass-Heavy,6.5,Snug,Budget
Avantree Aria Pro,Avantree,79,26,7.2,Balanced,7.0,Spacious,Budget
Wyze Noise-Cancelling Headphones,Wyze,79,28,7.5,Balanced,7.5,Spacious,Budget
Monoprice BT-600ANC,Monoprice,89,32,7.4,Bass-Heavy,7.0,Snug,Budget
Taotronics SoundSurge 85,Taotronics,49,26,6.9,Bass-Heavy,6.5,Spacious,Budget
Mpow H10,Mpow,45,25,6.8,Bass-Heavy,6.0,Snug,Budget
Cowin E7 Pro,Cowin,59,23,6.5,Bass-Heavy,6.5,Spacious,Budget
Status Audio Core ANC,Status Audio,99,29,8.1,Balanced,7.5,Snug,Budget
EarFun Wave Pro 2,EarFun,89,32,8.2,Balanced,7.5,Snug,Budget
Cleer Alpha,Cleer,199,31,8.3,Bass-Heavy,8.0,Spacious,Mid-Range
Status Audio Flagship ANC,Status Audio,199,33,8.6,Balanced,8.5,Spacious,Mid-Range
Sony WH-1000XM6,Sony,399,40,9.5,Bass-Heavy,8.5,Snug,Flagship
Bose QuietComfort Ultra (2nd Gen),Bose,449,40,9.0,Balanced,8.5,Spacious,Flagship
Apple AirPods Max 2,Apple,499,40,9.0,Balanced,9.5,Spacious,Flagship
Sennheiser Momentum 5,Sennheiser,329,35,9.4,Balanced,8.5,Spacious,Flagship
Bowers & Wilkins PX7 S3,Bowers & Wilkins,399,36,9.4,Balanced,9.0,Snug,Flagship
Bang & Olufsen Beoplay H100,Bang & Olufsen,1299,34,9.7,Balanced,9.8,Spacious,Audiophile
Focal Bathys MG,Focal,699,32,9.8,Neutral,9.5,Deep,Audiophile
Sonos Ace,Sonos,449,38,9.1,Balanced,9.0,Snug,Flagship
Dyson OnTrac,Dyson,449,39,8.7,Balanced,9.0,Spacious,Flagship
Marshall Monitor III ANC,Marshall,299,35,8.8,Balanced,9.0,Snug,Mid-Range
Cambridge Audio Melomania P100,Cambridge Audio,229,34,9.0,Neutral,8.5,Snug,Mid-Range
Sony ULT Wear,Sony,179,34,8.2,Bass-Heavy,7.5,Snug,Mid-Range
Sennheiser Accentum Plus,Sennheiser,199,31,8.5,Balanced,7.5,Snug,Mid-Range
JLab JBuds Lux ANC,JLab,79,30,7.8,Bass-Heavy,7.5,Spacious,Budget
1More Sonoflow Pro HQ51,1More,89,35,8.3,Balanced,7.5,Spacious,Budget
EarFun Wave Pro,EarFun,79,31,8.1,Balanced,7.0,Snug,Budget
EarFun Wave Pro 2,EarFun,89,32,8.2,Balanced,7.5,Snug,Budget
